,city,country,first-name,last-name,pronouns,country-alpha_3,continent,longitude,latitude,ols-1,ols-2,ols-3,ols-4,ols-5,ols-6,ols-7
dasaptaerwin,,India,Dasapta Erwin,Irawan,,IND,Asia,,,,,,,,speaker,
dsarahstamps,,United States,Sarah,Stamps,,USA,North America,,,,,,,speaker,,
emmyft,,Netherlands,Emmy,Tsang,she/her,NLD,Europe,,,,,speaker,speaker,speaker,,speaker
ganleyemma,,United Kingdom,Emma,Ganley,,GBR,Europe,,,,speaker,,,,,
hpdang,,Singapore,Hong,Phuc Dang,,SGP,Asia,,,,,,speaker,speaker,,
jasonjwilliamsny,,United States,Jason,Williams,he/him,USA,North America,,,speaker,,,,,,
joshsimmons,,United States,Josh,Simmons,,USA,North America,,,speaker,,,,,,
karinlag,,Norway,Karin,Lagesen,she/her,NOR,Europe,,,speaker,,,,,,
kaythaney,,United States,Kaitlin,Thaney,,USA,North America,,,,,,speaker,,,
kipkurui,,Kenya,Caleb,Kibet,he/him,KEN,Africa,,,speaker,,,,,,
kirstiejane,,United Kingdom,Kirstie,Whitaker,she/her,GBR,Europe,,,speaker,,,,,,
mkuzak,,Netherlands,Mateusz,Kuzak,he/him,NLD,Europe,,,speaker,speaker,,,,,
nick-barlow,,United Kingdom,Nick,Barlow,,GBR,Europe,,,,,,speaker,,,
orchid00,,Australia,Paula,Andrea Martinez,she/her,AUS,Oceania,,,,speaker,,,,,
pazbc,,Argentina,Paz,Bernaldo,she/her,ARG,South America,,,,,,,,speaker,speaker
rgaiacs,,Brazil,Raniere,Silva,he/him,BRA,South America,,,,,,,speaker,,
rowland-mosbergen,,Australia,Rowland,Mosbergen,,AUS,Oceania,,,,,speaker,,speaker,,
sdopoku,,Ghana,David,Selassie Opoku,he/him,GHA,Africa,,,,speaker,,,,,
yochannah,,United Kingdom,Yo,Yehudi,they/them,GBR,Europe,,,speaker,speaker,speaker,speaker,speaker,speaker,speaker
lenny-teytelman,,,Lenny,Teytelman,,,,,,,,speaker,,,,
npch,,,Neil,Chue Hong,,,,,,,,speaker,,,,
